Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HVbg fix/swap Rate Notes 01-31;94.500;+0.11%+0.100;03/08/202416:27:50;XS0132540955;-;94.750-;96.750-;07/11/2031;q
HVbg Fix/Swap-li-FRN 18-28/163;90.300;+0.22%+0.200;03/08/202416:27:50;XS1915000753;-;90.300100,000;93.300-;11/27/2028;q
HVbg var-SV 19-29/S.170;93.400;+0.11%+0.100;03/08/202416:27:50;XS2002726847;-;93.4001,000,000;95.400-;05/27/2029;q
HVbg 3,25% Anleihe 24-27/S.269;99.070;0.00%0.000;03/08/202416:27:50;AT0000A39K87;-;99.0701,000,000;100.070-;01/15/2027;q
HVbg Fix/Swap-li-FRN 18-28/158;88.950;+0.28%+0.250;03/08/202416:27:50;XS1859330752;-;88.950100,000;91.950-;07/24/2028;q
HVbg var SV 19-29/S.175;94.500;0.00%0.000;03/08/202416:27:50;XS2037749749;-;94.5001,000,000;96.500-;08/07/2029;q
HVbg 3,70% Anleihe 23-28/S.265;100.000;+0.40%+0.400;03/08/202416:27:49;AT0000A36X77;-;99.9501,000,000;101.450-;09/11/2028;q
HVbg 3,8%GreenBond23-26/S.267;100.050;+0.20%+0.200;03/08/202416:27:49;AT0000A38JB4;-;100.0001,000,000;101.000-;06/18/2026;q
HypVbg 3,7% KMU Anl.23-28/S266;100.850;+0.30%+0.300;03/08/202416:27:49;AT0000A381H1;-;100.8001,000,000;102.300-;01/25/2028;q
HVbg 3,70% Anleihe 23-26/S.264;99.600;+0.20%+0.200;03/08/202416:27:49;AT0000A36X69;-;99.5501,000,000;100.550-;09/11/2026;q
HWBB 4 % WB-WA 23-33/17 VBG;104.800;+0.48%+0.500;03/08/202416:27:49;AT0000A37UU3;-;104.7001,000,000;106.700-;11/15/2033;q
HVbg 3,75% Anl 23-25 II/S.260;99.050;+0.05%+0.050;03/08/202416:27:49;AT0000A34816;-;99.0501,000,000;100.0503,000;06/02/2025;q
HWBB 3,90% WB-WA 23-33/6 VBG;102.950;+0.49%+0.500;03/08/202416:27:49;AT0000A359Q8;-;103.25030,000;104.850-;07/12/2033;q
HVbg 3,75%  Anl 23-27/S.261;100.050;+0.35%+0.350;03/08/202416:27:49;AT0000A34824;-;100.0001,000,000;101.50020,000;10/05/2027;q
HWBB 4,00% WB-WA 23-33/18 VBG;104.800;+0.53%+0.550;03/08/202416:27:49;AT0000A38J81;-;104.6501,000,000;106.650-;12/22/2033;q
HVbg 3,5% KMUAnl.22-27/S.249;99.900;+0.25%+0.250;03/08/202416:27:48;AT0000A31LF6;-;99.9001,000,000;100.900-;02/25/2027;q
HVbg 3 % Anl. 22-30/DIP S.240;94.550;+0.48%+0.450;03/08/202416:27:48;AT0000A2YXL5;-;94.450100,000;96.450-;07/19/2030;q
HVbg 3,75% Anl 23-25/DIP S.258;98.850;+0.05%+0.050;03/08/202416:27:48;AT0000A32T77;-;98.8501,000,000;99.850-;03/27/2025;q
HVbg MinMax-Anl.22-27-II/S244;96.600;+0.16%+0.150;03/08/202416:27:48;AT0000A30350;-;96.6001,000,000;98.100-;10/06/2027;q
HVbg Green Bond 23-28/S.253;99.050;+0.15%+0.150;03/08/202416:27:48;AT0000A325P1;-;99.0501,000,000;100.550-;02/07/2028;q
HVbg 2,25% Anl.22-25/DIP S.241;96.650;+0.10%+0.100;03/08/202416:27:48;AT0000A2Z922;-;96.6001,000,000;97.600-;09/16/2025;q
HVbg 3,5%KMU22-27 II/DIP S.251;99.800;+0.25%+0.250;03/08/202416:27:48;AT0000A32182;-;99.7501,000,000;100.750-;01/27/2027;q
HVbg 4,75%NR SV 22-32/DIP S252;92.900;+0.54%+0.500;03/08/202416:27:48;AT0000A321S4;-;94.50050,000;95.800-;12/20/2032;q
HVbg 2,125% Anl. 22-26/S.243;96.000;+0.21%+0.200;03/08/202416:27:48;AT0000A30368;-;95.9501,000,000;96.9501,000;10/06/2026;q
HVbg 1,875% Green 22-27/S.236;95.600;+0.10%+0.100;03/08/202416:27:47;AT0000A2XMH8;-;95.6001,000,000;97.1004,000;06/30/2027;q
HVbg-Nachh.-Expr.-Zert.19-25;93.350;+0.05%+0.050;03/08/202416:27:47;AT0000A27661;-;93.300100,000;94.3005,000;06/03/2025;q
HVbg MiniMax-Anl. 22-27/S.237;96.200;+0.05%+0.050;03/08/202416:27:47;AT0000A2YBF3;-;96.2001,000,000;97.700-;06/30/2027;q
HVbg 0,67 % Anl. 19-26/S.171;91.350;+0.22%+0.200;03/08/202416:27:47;AT0000A28CN5;-;91.3501,000,000;93.350-;06/03/2026;q
HWBB MinMax-WA19-30/12/Vbg/5;90.600;+0.06%+0.050;03/08/202416:27:47;AT0000A28Z42;-;90.6001,000,000;92.600-;11/04/2030;q
HVbg Min-Max Fltr.19-26;94.800;+0.11%+0.100;03/08/202416:27:47;AT0000A288B1;-;94.8001,000,000;96.800-;06/05/2026;q
HVbg 0,39% Anleihe 20-27/S.201;88.000;+0.28%+0.250;03/08/202416:27:47;AT0000A2HTS3;-;88.0001,000,000;90.000-;08/05/2027;q
HWBB MinMax-WA 19-30/11/Vbg/4;90.900;+0.11%+0.100;03/08/202416:27:47;AT0000A28FL2;-;--;--;09/11/2030;S
HVbg 0,09% kuendb. Anl. 19-24;95.750;0.00%0.000;03/08/202416:27:47;AT0000A2B6T8;-;95.8001,000,000;97.800-;11/20/2024;q
HypoVbg Stz-Anl.19-25;95.850;+0.05%+0.050;03/08/202416:27:46;AT0000A25J52;-;96.85015,000;96.850-;04/02/2025;q
HYPO-WOHN.WANDEL.17-28/10;92.500;+0.33%+0.300;03/08/202416:27:46;AT0000A1UXM3;-;92.5001,000,000;94.000-;04/11/2028;q
HYPOVbgHYP-EUROP-DIV-GAR.17-25;92.200;+0.16%+0.150;03/08/202416:27:46;AT0000A1YXS2;-;92.200100,000;93.200-;12/05/2025;q
HWBB Stfz.-WA18-29/5 Vbg;89.650;+0.45%+0.400;03/08/202416:27:46;AT0000A1ZTW9;-;89.6001,000,000;91.600-;03/20/2029;q
HVbg EUROPA-Div-Gar.19-25;92.850;+0.05%+0.050;03/08/202416:27:46;AT0000A267U5;-;92.900100,000;93.900-;03/27/2025;q
HYPO VBG 6,125% AT1-Anl.18/S.2;77.650;+0.52%+0.400;03/08/202416:27:46;AT0000A20DC3;-;77.650-;79.650-;open-end;q
HYPOVbg 3,125% Nr SV 17-27;91.400;+0.33%+0.300;03/08/202416:27:46;AT0000A1YQ55;-;94.00043,000;94.400-;10/27/2027;q
