Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HypoVbg Stz-Anl.19-25;95.700;+0.05%+0.050;02/28/202417:02:07;AT0000A25J52;-;96.85015,000;96.700-;04/02/2025;q
HYPO-WOHN.WANDEL.17-28/10;91.700;0.00%0.000;02/28/202417:02:07;AT0000A1UXM3;-;91.7501,000,000;93.250-;04/11/2028;q
HYPOVbgHYP-EUROP-DIV-GAR.17-25;91.850;-0.05%-0.050;02/28/202417:02:07;AT0000A1YXS2;-;91.900100,000;92.90020,000;12/05/2025;q
HWBB Stfz.-WA18-29/5 Vbg;88.650;0.00%0.000;02/28/202417:02:07;AT0000A1ZTW9;-;88.7001,000,000;90.700-;03/20/2029;q
HYPO VBG 6,125% AT1-Anl.18/S.2;76.400;+0.07%+0.050;02/28/202417:02:07;AT0000A20DC3;-;76.450-;78.450-;open-end;q
HYPO-WOHN.WANDEL.17-29/4;93.800;0.00%0.000;02/28/202417:02:07;AT0000A1QEF5;-;93.8001,000,000;95.300-;01/31/2029;q
HWBB MiniMax WA19-30/1 Vbg;91.300;0.00%0.000;02/28/202417:02:07;AT0000A25HY7;-;91.3501,000,000;93.350-;04/02/2030;q
HYPO-WOHN.WANDEL.17-28/10;91.700;0.00%0.000;02/28/202417:02:07;AT0000A1UXM3;-;91.7501,000,000;93.250-;04/11/2028;q
HYPOVbgHYP-EUROP-DIV-GAR.17-25;91.850;-0.05%-0.050;02/28/202417:02:07;AT0000A1YXS2;-;91.900100,000;92.90020,000;12/05/2025;q
Vbg LHB Add Tier1-Anl. 2016;88.200;0.00%0.000;02/28/202417:02:06;AT0000A1LKA4;-;88.250-;90.250-;open-end;q
HYPO-WOHN.WANDEL.16-27/10;96.000;-0.05%-0.050;02/28/202417:02:06;AT0000A1LDY9;-;96.0501,000,000;97.550-;06/21/2027;q
HYPO-WOHN.WANDEL.16-27/4;96.150;0.00%0.000;02/28/202417:02:06;AT0000A1JG64;-;96.2001,000,000;97.200-;02/15/2027;q
HYPO-WOHN.WANDEL.16-27/9;94.500;-0.05%-0.050;02/28/202417:02:06;AT0000A1KUY5;-;94.5501,000,000;96.050-;04/26/2027;q
