Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HYPO-WOHN.WANDEL.17-29/4;94.000;-0.05%-0.050;03/11/202417:01:30;AT0000A1QEF5;11,000;94.0501,000,000;95.5505,500;01/31/2029;q
HYPO-WOHN.WANDEL.16-27/16;96.350;-0.10%-0.100;03/11/202417:01:30;AT0000A1PN83;-;96.5509,000;97.900-;12/07/2027;q
HYPO-WOHN.WANDEL 17-28/6;92.600;-0.16%-0.150;03/11/202417:01:30;AT0000A1TMZ0;-;92.6001,000,000;94.100-;02/21/2028;q
HYPO-WOHN.WANDEL.16-27/10;96.200;-0.05%-0.050;03/11/202417:01:29;AT0000A1LDY9;-;96.2001,000,000;97.700-;06/21/2027;q
HYPO-WOHN.WANDEL.16-27/4;96.600;-0.10%-0.100;03/11/202417:01:29;AT0000A1JG64;-;96.6001,000,000;97.600-;02/15/2027;q
HYPO-WOHN.WANDEL.16-27/9;95.000;-0.16%-0.150;03/11/202417:01:29;AT0000A1KUY5;-;95.0001,000,000;96.500-;04/26/2027;q
HYPO-WOHN.WANDEL.16-27/7;95.050;-0.11%-0.100;03/11/202417:01:29;AT0000A1KKW0;-;95.0501,000,000;96.550-;03/30/2027;q
Vbg LHB Add Tier1-Anl. 2016;88.650;-0.06%-0.050;03/11/202417:01:29;AT0000A1LKA4;-;88.650-;90.650-;open-end;q
HYPO-WOHN.WANDEL.16-27/6;97.150;+0.94%+0.900;03/11/202417:01:29;AT0000A1KAR1;-;97.1501,000,000;98.150-;03/08/2027;q
HYPO-WOHN.WANDEL.16-27/13;95.800;-0.05%-0.050;03/11/202417:01:29;AT0000A1MCE1;235,000;95.90017,500;97.300-;08/09/2027;q
HYPO-WOHN.WANDEL.16-27/5;96.450;-0.16%-0.150;03/11/202417:01:29;AT0000A1JWT3;-;96.4501,000,000;97.450-;02/22/2027;q
HYP.W WB.WDL 13-26/10;98.500;-0.10%-0.100;03/11/202417:01:28;AT0000A0ZDU9;2,200;99.100700;99.500-;03/20/2026;q
HYPO-WOHN.WANDEL.14-27/10;97.650;-0.15%-0.150;03/11/202417:01:28;AT0000A161B0;-;97.7001,000,000;99.200-;03/24/2027;q
HYPO-WOHN.WANDEL.15-27/13;96.100;-0.05%-0.050;03/11/202417:01:28;AT0000A1EZS9;-;96.3009,000;97.600-;07/08/2027;q
HYPO-WOHN.WANDEL.14-26/17;95.450;-0.05%-0.050;03/11/202417:01:28;AT0000A19SA7;-;95.4501,000,000;96.450-;10/27/2026;q
HYPO-WOHN.WANDEL.15-26/18;96.600;-0.10%-0.100;03/11/202417:01:28;AT0000A1H567;7,200;96.6001,000,000;97.6003,600;11/26/2026;q
HYPO-WOHN.WANDEL.15-26/17;98.650;-0.05%-0.050;03/11/202417:01:28;AT0000A1H559;40,000;98.8509,000;99.650-;11/26/2026;q
HWBB 3% WB-WA 22-33/3 Bgld;96.510;+7.20%+6.480;03/11/202414:30:47;AT0000A30608;6,000;--;--;09/23/2033;P
PV-Invest 4,15% Anleihe 17-24;100.000;+2.56%+2.500;03/11/202414:16:13;AT0000A1YY14;6,000;--;--;12/18/2024;P
BAWAGPSK WBB 3,7% WA 23-33/S2;103.800;-0.15%-0.160;03/11/202414:15:23;AT0000A36X93;52,000;--;--;11/29/2033;P
BAWAG P.S.K.WB.WD13-28/02;96.310;-0.01%-0.010;03/11/202414:15:16;AT0000A0Y1R8;100,000;--;--;01/18/2028;P
Hypo-WBB WA OOE. 15-27/8;92.800;+0.27%+0.250;03/11/202414:15:12;AT0000A1D301;41,000;--;--;02/18/2027;P
RWBB vario WSV 16-28/RLBTirol;94.360;-0.15%-0.140;03/11/202414:15:10;AT000B124565;8,000;--;--;10/10/2028;P
RWBB 0,25-1,35%StzWSV 16-26/16;93.800;0.00%0.000;03/11/202414:15:09;AT000B124599;42,000;--;--;10/19/2026;P
RLBTir Regional Anl 17-24/1;97.810;+0.01%+0.010;03/11/202414:15:03;AT0000A1Z015;40,000;--;--;12/04/2024;P
AAB variabler Pfandbrief 23-26;100.000;0.00%0.000;03/11/202414:15:01;AT0000A37PF4;20,000;--;--;10/30/2026;P
3BK-WBB Stuf.Zins.WA.  13-25;100.000;-0.74%-0.750;03/11/202413:15:37;AT0000A107M0;44,400;--;--;05/27/2025;P
